,name,code
312,????,084670
313,????,092200
314,???,013570
315,?????,015540
316,????,008420
317,??????,085620
318,????,134380
319,??,003610
320,????,000890
321,???,005180
322,????,001360
323,????,002810
324,????,002450
325,??????,017390
326,????,002820
327,????,004980
328,????,003030
329,?????,075580
330,?????,031440
331,?????,006880
332,?????,005800
333,??????,020560
334,?????,033660
335,????,015260
336,?????,036570
337,?????,017370
338,??,016880
339,?????,003470
340,????,008250
341,????,025820
342,????,005950
343,????,015020
344,???,084680
345,????,006490
346,?????,015860
347,????,271980
348,????,000480
349,?????,018470
350,???,185750
351,??????,063160
352,????,002380
353,????,058860
354,???????,144620
355,???,021240
356,?????,264900
357,?????,010770
358,?????,058430
359,????12?,172580
360,????8?,159650
361,???????,024720
362,??????????,000240
363,??????,034830
364,????,105630
365,????,130660
366,??????,000370
367,??????,086280
368,??????,012630
369,???????,017800
370,?????,057050
371,??,003010
372,????,111110
373,????,010660
374,????,016580
375,?????????,005870
376,????,000540
377,GH???,130500
378,GRT,900290
379,HRS,036640
380,IBKS?3???,225430
381,ITX???,099520
382,KB????,024120
383,KG ETS,151860
384,KG?????,046440
385,KJ???,083470
386,KPX????,114450
387,MP??,065150
388,?????,198440
389,????????,242040
390,???,043650
391,??????,019010
392,????,053260
393,????,049080
394,?????,121600
395,???????,042420
396,????,092600
397,?????,065560
398,?????,054050
399,???,126870
400,???,012340
401,?????,078140
402,?????,036480
403,??????,020180
404,??????,077360
405,??????,263800
406,????,017680
407,???,206560
408,????,025950
409,????,033430
410,???,134580
411,??,131180
412,??????,141080
413,?????,038390
414,????,228850
415,???,038060
416,???????,016100
417,?????,005990
418,????,080160
419,??????,161570
420,?????,095500
421,?????,206640
422,????,053030
423,?????????,208710
424,????,251630
425,????,072950
426,?????,053700
427,??????,111870
428,?????,225190
429,??????,002290
430,????,017480
431,??,263540
432,????,063170
433,????,018680
434,??,011370
435,?????,123420
436,??????,068760
437,????????,091990
438,????,032680
439,??,099440
440,??????????,033790
441,????3?,263770
442,?????,222080
443,?????,115530
444,???,047920
445,??????,074430
446,???,149950
447,?????,068940
448,????,114810
449,???????,139050
450,??????,119830
451,????,131370
452,???,196300
453,??????,052790
454,??,131400
455,???,030960
456,??????,102120
457,????,019990
458,???,097780
459,??????,031330
460,??????,056190
461,????,237690
462,????,043340
463,?????????,067630
464,???,045660
465,????????,063440
466,??,205100
467,????,031860
468,?????,206400
469,??,115960
470,??????,036180
471,????,036560
472,?????,053980
473,?????,241790
474,?????,080580
475,??,067170
476,?????,057540
477,???,123010
478,???-?,019210
479,?????????,122870
480,??,900180
481,???,115440
482,????,101170
483,??AMS,066590
484,?????,030530
485,?????,076080
486,???,039790
487,??,097800
488,?????,142210
489,??????,024800
490,????,060230
491,???,053350
492,??????,036260
493,??????,039030
494,?????,088290
495,??????,189300
496,?????,041020
497,?????,187420
498,???????,033320
499,???????,126880
